date,hospitalized_current,icu_current
2020-04-30,6,0.0
2020-05-01,6,0.0
2020-05-01,7,0.0
2020-05-02,8,0.0
2020-05-03,8,0.0
2020-05-04,4,0.0
2020-05-05,4,0.0
2020-05-06,2,0.0
2020-05-07,2,0.0
2020-05-08,3,0.0
2020-05-09,2,0.0
2020-05-10,2,0.0
2020-05-11,2,0.0
2020-05-12,2,0.0
2020-05-13,2,0.0
2020-05-14,2,0.0
2020-05-15,2,0.0
2020-05-16,2,0.0
2020-05-17,2,0.0
2020-05-18,2,0.0
2020-05-19,1,0.0
2020-05-20,1,0.0
2020-05-21,1,0.0
2020-05-22,1,0.0
2020-05-23,1,0.0
2020-05-24,1,0.0
2020-05-25,1,0.0
2020-05-26,1,0.0
2020-05-27,0,0.0
2020-05-28,0,0.0
2020-05-29,0,0.0
2020-05-30,0,0.0
2020-05-31,0,0.0
2020-06-01,0,0.0
2020-06-02,0,0.0
2020-06-03,0,0.0
2020-06-04,0,0.0
2020-06-05,0,0.0
2020-06-06,0,0.0
2020-06-07,0,0.0
2020-06-08,0,0.0
2020-06-09,0,0.0
2020-06-10,0,0.0
2020-06-11,0,0.0
2020-06-12,0,0.0
2020-06-13,0,0.0
2020-06-14,0,0.0
2020-06-15,0,0.0
2020-06-16,0,0.0
2020-06-17,0,0.0
2020-06-18,0,0.0
2020-06-19,0,0.0
2020-06-20,0,0.0
2020-06-21,0,0.0
2020-06-22,0,0.0
2020-06-23,0,0.0
2020-06-24,0,0.0
2020-06-25,0,0.0
2020-06-26,0,0.0
2020-06-27,0,0.0
2020-06-28,1,0.0
2020-06-29,1,0.0
2020-06-30,1,0.0
2020-07-01,1,0.0
2020-07-02,1,0.0
2020-07-03,1,0.0
2020-07-04,1,0.0
2020-07-05,1,0.0
2020-07-06,1,0.0
2020-07-07,0,0.0
2020-07-08,0,0.0
2020-07-09,0,0.0
2020-07-10,0,0.0
2020-07-11,0,0.0
2020-07-12,0,0.0
2020-07-13,0,0.0
2020-07-14,0,0.0
2020-07-15,0,0.0
2020-07-16,0,0.0
2020-07-17,0,0.0
2020-07-18,0,0.0
2020-07-19,0,0.0
2020-07-20,1,0.0
2020-07-21,0,0.0
2020-07-22,0,0.0
2020-07-23,0,0.0
2020-07-24,0,0.0
2020-07-25,0,0.0
2020-07-26,0,0.0
2020-07-27,0,0.0
2020-07-28,0,0.0
2020-07-29,0,0.0
2020-07-30,0,0.0
2020-07-31,0,0.0
2020-08-01,0,0.0
2020-08-02,0,0.0
2020-08-03,0,0.0
2020-08-04,0,0.0
2020-08-05,0,0.0
2020-08-06,0,0.0
2020-08-07,0,0.0
2020-08-08,0,0.0
2020-08-09,0,0.0
2020-08-10,0,0.0
2020-08-11,1,0.0
2020-08-12,1,0.0
2020-08-13,1,0.0
2020-08-14,1,0.0
2020-08-15,1,0.0
2020-08-16,5,0.0
2020-08-17,5,0.0
2020-08-18,6,0.0
2020-08-19,5,0.0
2020-08-20,6,0.0
2020-08-21,8,1.0
2020-08-22,9,3.0
2020-08-23,9,3.0
2020-08-24,10,2.0
2020-08-25,9,
2020-08-26,9,3.0
2020-08-27,10,1.0
2020-08-28,11,3.0
2020-08-29,11,3.0
2020-08-30,10,2.0
2020-08-31,11,2.0
2020-09-01,10,2.0
2020-09-02,7,2.0
2020-09-03,7,2.0
2020-09-04,6,2.0
2020-09-05,2,1.0
2020-09-06,4,1.0
2020-09-07,4,1.0
2020-09-08,4,2.0
2020-09-09,4,2.0
2020-09-10,3,2.0
2020-09-11,3,2.0
2020-09-12,3,2.0
2020-09-13,3,2.0
2020-09-14,3,2.0
2020-09-15,4,2.0
2020-09-16,3,2.0
2020-09-17,4,0.0
2020-09-18,4,1.0
2020-09-19,4,0.0
2020-09-20,3,0.0
2020-09-21,3,0.0
2020-09-22,3,0.0
2020-09-23,3,0.0
2020-09-24,3,0.0
2020-09-25,3,0.0
2020-09-26,2,0.0
2020-09-27,1,0.0
2020-09-28,1,0.0
2020-09-29,1,0.0
2020-09-30,1,0.0
2020-10-01,1,0.0
2020-10-02,0,0.0
2020-10-03,0,0.0
2020-10-04,0,0.0
2020-10-05,0,0.0
2020-10-06,1,0.0
2020-10-07,1,0.0
2020-10-08,1,0.0
2020-10-09,1,0.0
2020-10-10,0,0.0
2020-10-11,0,0.0
2020-10-12,0,0.0
2020-10-13,0,0.0
2020-10-14,0,0.0
2020-10-15,0,0.0
2020-10-16,0,0.0
2020-10-17,0,0.0
2020-10-18,0,0.0
2020-10-19,0,0.0
2020-10-20,0,0.0
2020-10-21,0,0.0
2020-10-22,0,0.0
2020-10-23,0,0.0
2020-10-24,0,0.0
2020-10-25,0,0.0
2020-10-26,0,0.0
2020-10-27,0,0.0
2020-10-28,0,0.0
2020-10-29,0,0.0
2020-10-30,0,0.0
2020-10-31,0,0.0
2020-11-01,0,0.0
2020-11-02,0,0.0
2020-11-03,0,0.0
2020-11-04,0,0.0
2020-11-05,0,0.0
2020-11-06,0,0.0
2020-11-07,0,0.0
2020-11-08,0,0.0
2020-11-09,0,0.0
