region_code,level_1_region_code,region_level,parent_region_code,region_code_level,level_2_region_code,level_3_region_code,region_code_type,region_name,population
GB-ENG-EOE,GBR,region,GB-ENG,3,GB-ENG,GB-ENG-EOE,None,East of England,
GB-ENG-LON,GBR,region,GB-ENG,3,GB-ENG,GB-ENG-LON,None,London,
GB-ENG-MID,GBR,region,GB-ENG,3,GB-ENG,GB-ENG-MID,None,Midlands,
GB-ENG-NEY,GBR,region,GB-ENG,3,GB-ENG,GB-ENG-NEY,None,North East & Yorkshire,
GB-ENG-NW,GBR,region,GB-ENG,3,GB-ENG,GB-ENG-NW,None,North West,
GB-ENG-SE,GBR,region,GB-ENG,3,GB-ENG,GB-ENG-SE,None,South East,
GB-ENG-SW,GBR,region,GB-ENG,3,GB-ENG,GB-ENG-SW,None,South West,
GB-ENG,GBR,country,GBR,2,GB-ENG,,iso_3166-2,England,
GB-NIR,GBR,province,GBR,2,GB-NIR,,iso_3166-2,Northern Ireland,1881641
GB-SCT,GBR,country,GBR,2,GB-SCT,,iso_3166-2,Scotland,5438100
GB-WLS,GBR,country,GBR,2,GB-WLS,,iso_3166-2,Wales,3138631
