time;Belegung Intensivbetten in %;Timestamp
01.04.2020;21;2020-04-26T10:30:00
02.04.2020;23;2020-04-26T10:30:00
03.04.2020;26;2020-04-26T10:30:00
04.04.2020;25;2020-04-26T10:30:00
05.04.2020;24;2020-04-26T10:30:00
06.04.2020;24;2020-04-26T10:30:00
07.04.2020;21;2020-04-26T10:30:00
08.04.2020;21;2020-04-26T10:30:00
09.04.2020;21;2020-04-26T10:30:00
10.04.2020;21;2020-04-26T10:30:00
11.04.2020;22;2020-04-26T10:30:00
12.04.2020;22;2020-04-26T10:30:00
13.04.2020;19;2020-04-26T10:30:00
14.04.2020;20;2020-04-26T10:30:00
15.04.2020;20;2020-04-26T10:30:00
16.04.2020;21;2020-04-26T10:30:00
17.04.2020;19;2020-04-26T10:30:00
18.04.2020;18;2020-04-26T10:30:00
19.04.2020;16;2020-04-26T10:30:00
20.04.2020;17;2020-04-26T10:30:00
21.04.2020;17;2020-04-26T10:30:00
22.04.2020;14;2020-04-26T10:30:00
23.04.2020;15;2020-04-26T10:30:00
24.04.2020;13;2020-04-26T10:30:00
25.04.2020;12;2020-04-26T10:30:00
26.04.2020;12;2020-04-26T10:30:00
