time;Genesen;Timestamp
26.02.2020;0;2020-04-27T03:00:00
27.02.2020;0;2020-04-27T03:00:00
28.02.2020;0;2020-04-27T03:00:00
29.02.2020;0;2020-04-27T03:00:00
01.03.2020;0;2020-04-27T03:00:00
02.03.2020;0;2020-04-27T03:00:00
03.03.2020;0;2020-04-27T03:00:00
04.03.2020;0;2020-04-27T03:00:00
05.03.2020;2;2020-04-27T03:00:00
06.03.2020;2;2020-04-27T03:00:00
07.03.2020;2;2020-04-27T03:00:00
08.03.2020;3;2020-04-27T03:00:00
09.03.2020;3;2020-04-27T03:00:00
10.03.2020;5;2020-04-27T03:00:00
11.03.2020;6;2020-04-27T03:00:00
12.03.2020;6;2020-04-27T03:00:00
13.03.2020;6;2020-04-27T03:00:00
14.03.2020;7;2020-04-27T03:00:00
15.03.2020;10;2020-04-27T03:00:00
16.03.2020;22;2020-04-27T03:00:00
17.03.2020;23;2020-04-27T03:00:00
18.03.2020;27;2020-04-27T03:00:00
19.03.2020;31;2020-04-27T03:00:00
20.03.2020;43;2020-04-27T03:00:00
21.03.2020;52;2020-04-27T03:00:00
22.03.2020;59;2020-04-27T03:00:00
23.03.2020;96;2020-04-27T03:00:00
24.03.2020;156;2020-04-27T03:00:00
25.03.2020;226;2020-04-27T03:00:00
26.03.2020;329;2020-04-27T03:00:00
27.03.2020;481;2020-04-27T03:00:00
28.03.2020;612;2020-04-27T03:00:00
29.03.2020;783;2020-04-27T03:00:00
30.03.2020;1005;2020-04-27T03:00:00
31.03.2020;1238;2020-04-27T03:00:00
01.04.2020;1453;2020-04-27T03:00:00
02.04.2020;1749;2020-04-27T03:00:00
03.04.2020;2022;2020-04-27T03:00:00
04.04.2020;2507;2020-04-27T03:00:00
05.04.2020;2998;2020-04-27T03:00:00
06.04.2020;3463;2020-04-27T03:00:00
07.04.2020;4046;2020-04-27T03:00:00
08.04.2020;4512;2020-04-27T03:00:00
09.04.2020;5240;2020-04-27T03:00:00
10.04.2020;6064;2020-04-27T03:00:00
11.04.2020;6604;2020-04-27T03:00:00
12.04.2020;6984;2020-04-27T03:00:00
13.04.2020;7343;2020-04-27T03:00:00
14.04.2020;7633;2020-04-27T03:00:00
15.04.2020;8098;2020-04-27T03:00:00
16.04.2020;8986;2020-04-27T03:00:00
17.04.2020;9704;2020-04-27T03:00:00
18.04.2020;10214;2020-04-27T03:00:00
19.04.2020;10501;2020-04-27T03:00:00
20.04.2020;10631;2020-04-27T03:00:00
21.04.2020;10971;2020-04-27T03:00:00
22.04.2020;11328;2020-04-27T03:00:00
23.04.2020;11694;2020-04-27T03:00:00
24.04.2020;11872;2020-04-27T03:00:00
25.04.2020;12103;2020-04-27T03:00:00
26.04.2020;12282;2020-04-27T03:00:00
