date,hospitalized_current,icu_current,ventilator_current
2020-04-07,305,93,37
2020-04-08,263,87,36
2020-04-09,262,81,36
2020-04-10,236,72,38
2020-04-11,240,80,38
2020-04-12,239,81,35
2020-04-13,227,79,46
2020-04-14,230,80,44
2020-04-15,214,76,41
2020-04-16,201,66,38
2020-04-17,192,60,38
2020-04-18,184,55,34
2020-04-19,177,48,33
2020-04-20,170,49,32
2020-04-21,167,47,33
2020-04-22,162,47,31
2020-04-23,152,45,29
2020-04-24,138,42,29
2020-04-25,129,43,29
2020-04-26,115,42,25
2020-04-27,113,43,27
2020-04-28,109,42,27
2020-04-29,93,38,26
2020-04-30,89,34,22
2020-05-01,83,28,21
2020-05-02,79,28,21
2020-05-03,75,28,20
2020-05-04,70,28,20
2020-05-05,66,27,20
2020-05-06,62,27,18
2020-05-07,58,23,17
2020-05-08,56,21,16
2020-05-09,51,19,15
2020-05-10,43,17,14
2020-05-11,49,16,14
2020-05-12,47,16,15
2020-05-13,50,17,14
2020-05-14,51,18,13
2020-05-15,46,17,13
2020-05-16,49,16,12
2020-05-17,50,16,12
2020-05-18,45,12,17
2020-05-19,47,11,7
2020-05-20,43,9,7
2020-05-21,41,9,7
2020-05-22,39,7,6
2020-05-23,35,5,5
2020-05-24,33,5,5
2020-05-25,31,5,5
2020-05-26,30,5,5
2020-05-27,30,6,6
2020-05-28,27,5,2
2020-05-29,23,4,3
2020-05-30,22,4,1
2020-05-31,21,4,1
2020-06-01,20,3,1
2020-06-02,26,4,2
2020-06-03,25,5,2
2020-06-04,23,4,2
2020-06-05,21,2,2
2020-06-06,21,4,2
2020-06-07,18,3,2
2020-06-08,19,3,2
2020-06-09,19,2,1
2020-06-10,20,3,2
2020-06-11,18,2,2
2020-06-12,17,2,0
2020-06-13,16,2,0
2020-06-14,16,3,0
2020-06-15,17,4,0
2020-06-16,17,3,2
2020-06-17,16,3,2
2020-06-18,14,2,2
2020-06-19,15,2,0
2020-06-20,17,3,0
2020-06-21,15,2,0
2020-06-22,16,2,0
2020-06-23,19,3,0
2020-06-24,16,2,0
