date,hospitalized_current,icu_current,ventilator_current
2020-06-15,4366.0,417.0,348.0
2020-06-16,4533.0,407.0,342.0
2020-06-17,4835.0,421.0,389.0
2020-06-18,,,
2020-06-19,4713.0,434.0,376.0
2020-06-20,,,
2020-06-21,4628.0,457.0,372.0
2020-06-22,4879.0,464.0,433.0
2020-06-23,,,
2020-06-24,5053.0,483.0,383.0
2020-06-25,5125.0,483.0,391.0
2020-06-26,5140.0,484.0,449.0
2020-06-27,5174.0,481.0,431.0
2020-06-28,,,
2020-06-29,5170.0,443.0,461.0
2020-06-30,5359.0,491.0,480.0
2020-07-01,5831.0,487.0,449.0
2020-07-02,4192.0,382.0,350.0
2020-07-03,,,
2020-07-04,5135.0,444.0,335.0
