date,hospitalizedCurrently,inIcuCurrently,onVentilatorCurrently
2020-04-07,305,93,37
2020-04-08,263,87,36
2020-04-09,262,81,36
2020-04-10,236,72,38
2020-04-11,240,80,38
2020-04-12,239,81,35
2020-04-13,227,79,46
2020-04-14,230,80,44
2020-04-15,214,76,41
2020-04-16,201,66,38
2020-04-17,192,60,38
2020-04-18,184,55,34
2020-04-19,177,48,33
2020-04-20,170,49,32
2020-04-21,167,47,33
2020-04-22,162,47,31
2020-04-23,152,45,29
2020-04-24,138,42,29
2020-04-25,129,43,29
2020-04-26,115,42,25
2020-04-27,113,43,27
2020-04-28,109,42,27
2020-04-29,93,38,26
2020-04-30,89,34,22
