date,hospitalized_current,icu_current,discharged_cumulative
2020-07-06,133.0,13.0,1129.0
2020-07-07,136.0,12.0,1132.0
2020-07-08,141.0,12.0,1134.0
2020-07-09,148.0,17.0,1148.0
2020-07-10,137.0,16.0,1160.0
2020-07-11,128.0,15.0,1164.0
2020-07-12,132.0,15.0,1164.0
2020-07-13,132.0,21.0,1168.0
2020-07-14,135.0,19.0,1171.0
2020-07-15,141.0,18.0,1177.0
2020-07-16,145.0,22.0,1186.0
2020-07-17,135.0,21.0,1189.0
2020-07-18,134.0,19.0,1195.0
2020-07-19,137.0,18.0,1139.0
2020-07-20,148.0,20.0,1205.0
2020-07-21,141.0,22.0,1210.0
2020-07-22,138.0,22.0,1219.0
2020-07-23,142.0,20.0,1223.0
2020-07-24,151.0,19.0,1231.0
2020-07-25,149.0,15.0,1235.0
2020-07-26,98.0,16.0,1268.0
2020-07-27,115.0,19.0,1273.0
2020-07-28,120.0,21.0,1285.0
2020-07-29,121.0,22.0,1294.0
2020-07-30,126.0,22.0,1306.0
2020-07-31,123.0,20.0,1312.0
2020-08-01,123.0,21.0,1317.0
2020-08-02,118.0,20.0,1322.0
2020-08-03,125.0,19.0,1333.0
2020-08-04,124.0,15.0,1346.0
2020-08-05,119.0,17.0,1353.0
2020-08-06,116.0,16.0,1364.0
2020-08-07,114.0,18.0,1370.0
2020-08-08,114.0,18.0,1379.0
2020-08-09,106.0,20.0,1380.0
2020-08-10,131.0,24.0,1387.0
2020-08-11,122.0,23.0,1440.0
2020-08-12,120.0,22.0,1455.0
2020-08-13,119.0,23.0,1471.0
2020-08-14,115.0,26.0,1485.0
2020-08-15,104.0,26.0,1492.0
2020-08-16,107.0,26.0,1580.0
2020-08-17,117.0,28.0,1591.0
2020-08-18,112.0,23.0,1605.0
2020-08-19,110.0,24.0,1614.0
2020-08-20,115.0,22.0,1559.0
2020-08-21,116.0,22.0,1566.0
2020-08-22,119.0,26.0,1576.0
2020-08-23,123.0,24.0,1583.0
2020-08-24,125.0,31.0,1589.0
2020-08-25,130.0,31.0,1598.0
2020-08-26,134.0,33.0,1611.0
2020-08-27,147.0,33.0,1620.0
2020-08-28,159.0,33.0,1635.0
2020-08-29,153.0,33.0,1650.0
2020-08-30,153.0,35.0,1654.0
2020-08-31,172.0,35.0,1665.0
2020-09-01,172.0,40.0,1672.0
2020-09-02,177.0,40.0,1692.0
2020-09-03,190.0,44.0,1714.0
2020-09-04,197.0,50.0,1738.0
2020-09-05,204.0,52.0,1745.0
2020-09-06,214.0,54.0,1751.0
2020-09-07,234.0,62.0,1774.0
2020-09-08,244.0,57.0,1800.0
2020-09-09,249.0,64.0,1822.0
2020-09-10,264.0,65.0,1842.0
2020-09-11,297.0,69.0,1869.0
2020-09-12,288.0,69.0,1889.0
2020-09-13,305.0,74.0,1898.0
2020-09-14,333.0,78.0,1930.0
2020-09-15,388.0,81.0,1974.0
2020-09-16,413.0,91.0,2007.0
2020-09-17,480.0,93.0,2058.0
2020-09-18,516.0,94.0,2116.0
2020-09-19,503.0,87.0,2156.0
2020-09-20,494.0,101.0,2188.0
2020-09-21,581.0,115.0,2237.0
2020-09-22,628.0,120.0,2280.0
2020-09-23,670.0,131.0,2349.0
2020-09-24,740.0,151.0,2404.0
2020-09-25,809.0,168.0,2505.0
2020-09-26,802.0,181.0,2532.0
2020-09-27,825.0,187.0,2671.0
2020-09-28,976.0,202.0,2754.0
2020-09-30,1028.0,198.0,2870.0
2020-10-01,1134.0,221.0,2974.0
2020-10-02,1198.0,245.0,3105.0
2020-10-03,1182.0,274.0,3196.0
2020-10-04,1242.0,265.0,3248.0
2020-10-05,1387.0,326.0,3390.0
2020-10-06,1563.0,354.0,3523.0
2020-10-07,1741.0,366.0,3663.0
2020-10-08,1893.0,412.0,3819.0
2020-10-09,2085.0,408.0,4017.0
2020-10-10,2106.0,438.0,4127.0
2020-10-11,2146.0,426.0,4236.0
2020-10-12,2503.0,467.0,4434.0
2020-10-13,2678.0,518.0,4639.0
2020-10-14,2920.0,543.0,4833.0
2020-10-15,3120.0,551.0,5063.0
2020-10-16,3415.0,596.0,5350.0
2020-10-17,3519.0,587.0,5492.0
2020-10-18,3721.0,589.0,5685.0
2020-10-19,4064.0,634.0,5986.0
2020-10-20,4417.0,657.0,6378.0
2020-10-21,4777.0,735.0,6823.0
2020-10-22,5044.0,751.0,7234.0
2020-10-23,5314.0,772.0,7846.0
2020-10-24,5345.0,800.0,8135.0
2020-10-25,5613.0,828.0,8337.0
2020-10-26,6191.0,893.0,8897.0
2020-10-27,6624.0,962.0,9403.0
2020-10-28,6604.0,1031.0,9790.0
2020-10-29,7281.0,1068.0,10276.0
2020-10-30,7673.0,1137.0,11105.0
2020-10-31,7370.0,1156.0,11426.0
2020-11-01,7486.0,1163.0,11645.0
2020-11-02,7396.0,1134.0,12345.0
2020-11-03,8278.0,1244.0,13005.0
2020-11-04,8236.0,1196.0,13669.0
2020-11-05,8276.0,1180.0,14399.0
2020-11-06,8283.0,1206.0,15331.0
2020-11-07,7779.0,1196.0,15652.0
2020-11-08,7787.0,1199.0,15893.0
2020-11-09,,,
