date,hospitalized_current,icu_current,discharged_cumulative
2020-03-10,1.0,0.0,0.0
2020-03-11,2.0,0.0,0.0
2020-03-12,4.0,0.0,0.0
2020-03-13,4.0,0.0,1.0
2020-03-14,5.0,0.0,1.0
2020-03-15,6.0,0.0,1.0
2020-03-16,19.0,2.0,4.0
2020-03-17,50.0,4.0,9.0
2020-03-18,49.0,5.0,10.0
2020-03-19,56.0,6.0,14.0
2020-03-20,67.0,16.0,19.0
2020-03-21,80.0,15.0,23.0
2020-03-22,98.0,19.0,33.0
2020-03-23,104.0,19.0,35.0
2020-03-24,122.0,21.0,43.0
2020-03-25,170.0,35.0,55.0
2020-03-26,197.0,36.0,61.0
2020-03-27,227.0,45.0,72.0
2020-03-28,263.0,56.0,83.0
2020-03-29,277.0,52.0,90.0
2020-03-30,291.0,64.0,101.0
2020-03-31,312.0,70.0,114.0
2020-04-01,342.0,72.0,136.0
2020-04-02,359.0,77.0,152.0
2020-04-03,380.0,87.0,173.0
2020-04-04,383.0,86.0,183.0
2020-04-05,391.0,84.0,188.0
2020-04-06,408.0,86.0,199.0
2020-04-07,432.0,103.0,219.0
2020-04-08,440.0,96.0,239.0
2020-04-09,446.0,98.0,263.0
2020-04-10,436.0,92.0,279.0
2020-04-11,442.0,87.0,299.0
2020-04-12,436.0,100.0,309.0
2020-04-13,428.0,92.0,318.0
2020-04-14,427.0,84.0,333.0
2020-04-15,418.0,75.0,367.0
2020-04-16,407.0,82.0,394.0
2020-04-17,398.0,86.0,418.0
2020-04-18,390.0,84.0,441.0
2020-04-19,374.0,84.0,451.0
2020-04-20,390.0,75.0,467.0
2020-04-21,412.0,80.0,489.0
2020-04-22,401.0,76.0,517.0
2020-04-23,395.0,77.0,546.0
2020-04-24,385.0,71.0,574.0
2020-04-25,352.0,79.0,583.0
2020-04-26,360.0,73.0,592.0
2020-04-27,359.0,71.0,609.0
2020-04-28,361.0,71.0,623.0
2020-04-29,348.0,68.0,643.0
2020-04-30,344.0,67.0,667.0
2020-05-01,319.0,68.0,688.0
2020-05-02,308.0,62.0,696.0
2020-05-03,299.0,58.0,698.0
2020-05-04,304.0,59.0,717.0
2020-05-05,295.0,51.0,744.0
2020-05-06,275.0,52.0,767.0
2020-05-07,258.0,46.0,779.0
2020-05-08,251.0,47.0,791.0
2020-05-09,239.0,40.0,798.0
2020-05-10,233.0,42.0,801.0
2020-05-11,236.0,44.0,810.0
2020-05-12,230.0,43.0,829.0
2020-05-13,217.0,42.0,850.0
2020-05-14,197.0,37.0,864.0
2020-05-15,183.0,39.0,873.0
2020-05-16,175.0,39.0,884.0
2020-05-17,166.0,36.0,888.0
2020-05-18,169.0,36.0,896.0
2020-05-19,169.0,36.0,896.0
2020-05-20,157.0,33.0,914.0
2020-05-21,150.0,29.0,915.0
2020-05-22,156.0,29.0,922.0
2020-05-23,145.0,24.0,923.0
2020-05-24,148.0,24.0,923.0
2020-05-25,154.0,24.0,926.0
2020-05-26,154.0,18.0,936.0
2020-05-27,149.0,21.0,950.0
2020-05-28,140.0,19.0,959.0
2020-05-29,134.0,18.0,969.0
2020-05-30,123.0,15.0,970.0
2020-05-31,123.0,15.0,973.0
2020-06-01,126.0,17.0,979.0
2020-06-02,131.0,12.0,986.0
2020-06-03,124.0,13.0,990.0
2020-06-04,122.0,12.0,998.0
2020-06-05,124.0,12.0,1007.0
2020-06-06,118.0,9.0,1011.0
2020-06-07,117.0,9.0,1013.0
2020-06-08,117.0,11.0,1020.0
2020-06-09,113.0,10.0,1024.0
2020-06-10,111.0,12.0,1026.0
2020-06-11,113.0,14.0,1028.0
2020-06-12,115.0,12.0,1030.0
2020-06-13,117.0,11.0,1033.0
2020-06-14,119.0,12.0,1034.0
2020-06-15,128.0,11.0,1037.0
2020-06-16,131.0,10.0,1040.0
2020-06-17,133.0,9.0,1043.0
2020-06-18,136.0,11.0,1047.0
2020-06-19,140.0,9.0,1055.0
2020-06-20,136.0,9.0,1063.0
2020-06-21,130.0,9.0,1064.0
2020-06-22,132.0,9.0,1067.0
2020-06-23,134.0,10.0,1074.0
2020-06-24,131.0,13.0,1080.0
2020-06-25,125.0,12.0,1086.0
2020-06-26,122.0,11.0,1091.0
2020-06-27,117.0,10.0,1091.0
2020-06-28,125.0,15.0,1094.0
2020-06-29,128.0,12.0,1097.0
2020-06-30,130.0,12.0,1100.0
2020-07-01,132.0,12.0,1107.0
2020-07-02,131.0,12.0,1114.0
2020-07-03,132.0,14.0,1118.0
2020-07-04,130.0,14.0,1123.0
2020-07-05,132.0,14.0,1127.0
