date,hospitalized_current,icu_current,discharged_cumulative
2020-03-10,1,0,0
2020-03-11,2,0,0
2020-03-12,4,0,0
2020-03-13,4,0,1
2020-03-14,5,0,1
2020-03-15,6,0,1
2020-03-16,19,2,4
2020-03-17,50,4,9
2020-03-18,49,5,10
2020-03-19,56,6,14
2020-03-20,67,16,19
2020-03-21,80,15,23
2020-03-22,98,19,33
2020-03-23,104,19,35
2020-03-24,122,21,43
2020-03-25,170,35,55
2020-03-26,197,36,61
2020-03-27,227,45,72
2020-03-28,263,56,83
2020-03-29,277,52,90
2020-03-30,291,64,101
2020-03-31,312,70,114
2020-04-01,342,72,136
2020-04-02,359,77,152
2020-04-03,380,87,173
2020-04-04,383,86,183
2020-04-05,391,84,188
2020-04-06,408,86,199
2020-04-07,432,103,219
2020-04-08,440,96,239
2020-04-09,446,98,263
2020-04-10,436,92,279
2020-04-11,442,87,299
2020-04-12,436,100,309
2020-04-13,428,92,318
2020-04-14,427,84,333
2020-04-15,418,75,367
2020-04-16,407,82,394
2020-04-17,398,86,418
2020-04-18,390,84,441
2020-04-19,374,84,451
2020-04-20,390,75,467
2020-04-21,412,80,489
2020-04-22,401,76,517
2020-04-23,395,77,546
2020-04-24,385,71,574
2020-04-25,352,79,583
2020-04-26,360,73,592
2020-04-27,359,71,609
2020-04-28,361,71,623
2020-04-29,348,68,643
2020-04-30,344,67,667
2020-05-01,319,68,688
2020-05-02,308,62,696
2020-05-03,299,58,698
2020-05-04,304,59,717
2020-05-05,295,51,744
2020-05-06,275,52,767
2020-05-07,258,46,779
2020-05-08,251,47,791
2020-05-09,239,40,798
2020-05-10,233,42,801
2020-05-11,236,44,810
2020-05-12,230,43,829
2020-05-13,217,42,850
2020-05-14,197,37,864
2020-05-15,183,39,873
2020-05-16,175,39,884
2020-05-17,166,36,888
2020-05-18,169,36,896
2020-05-19,169,36,896
2020-05-20,157,33,914
2020-05-21,150,29,915
2020-05-22,156,29,922
2020-05-23,145,24,923
2020-05-24,148,24,923
2020-05-25,154,24,926
2020-05-26,154,18,936
2020-05-27,149,21,950
2020-05-28,140,19,959
2020-05-29,134,18,969
2020-05-30,123,15,970
2020-05-31,123,15,973
2020-06-01,126,17,979
2020-06-02,131,12,986
2020-06-03,124,13,990
2020-06-04,122,12,998
2020-06-05,124,12,1007
2020-06-06,118,9,1011
2020-06-07,117,9,1013
2020-06-08,117,11,1020
2020-06-09,113,10,1024
2020-06-10,111,12,1026
2020-06-11,113,14,1028
2020-06-12,115,12,1030
2020-06-13,117,11,1033
2020-06-14,119,12,1034
2020-06-15,128,11,1037
2020-06-16,131,10,1040
2020-06-17,133,9,1043
2020-06-18,136,11,1047
2020-06-19,140,9,1055
2020-06-20,136,9,1063
2020-06-21,130,9,1064
2020-06-22,132,9,1067
2020-06-23,134,10,1074
2020-06-24,131,13,1080
2020-06-25,125,12,1086
2020-06-26,122,11,1091
2020-06-27,117,10,1091
2020-06-28,125,15,1094
2020-06-29,128,12,1097
2020-06-30,130,12,1100
