date,hospitalized_cumulative,icu_cumulative
2020-03-16,84.0,6.0
2020-03-17,108.0,7.0
2020-03-18,140.0,12.0
2020-03-19,173.0,13.0
2020-03-20,211.0,17.0
2020-03-21,239.0,25.0
2020-03-22,277.0,36.0
2020-03-23,305.0,39.0
2020-03-24,340.0,47.0
2020-03-25,419.0,59.0
2020-03-26,489.0,67.0
2020-03-27,564.0,77.0
2020-03-28,645.0,84.0
2020-03-29,703.0,113.0
2020-03-30,834.0,126.0
2020-03-31,932.0,134.0
2020-04-01,1039.0,148.0
2020-04-02,1118.0,158.0
2020-04-03,1203.0,165.0
2020-04-04,1265.0,169.0
2020-04-05,1345.0,194.0
2020-04-06,1472.0,224.0
2020-04-07,1521.0,230.0
2020-04-08,1631.0,233.0
2020-04-09,1718.0,253.0
2020-04-10,1777.0,261.0
2020-04-11,1849.0,268.0
2020-04-12,1903.0,276.0
2020-04-13,1968.0,280.0
2020-04-14,2026.0,284.0
2020-04-15,2082.0,296.0
2020-04-16,2168.0,296.0
2020-04-17,2233.0,303.0
2020-04-18,2272.0,306.0
2020-04-19,2323.0,315.0
2020-04-20,2387.0,322.0
2020-04-21,2424.0,331.0
2020-04-22,2486.0,338.0
2020-04-23,2536.0,344.0
2020-04-24,2576.0,349.0
2020-04-25,2625.0,353.0
2020-04-26,2638.0,356.0
2020-04-27,2669.0,356.0
2020-04-28,2709.0,360.0
2020-04-29,2768.0,367.0
2020-04-30,2785.0,368.0
2020-05-01,2825.0,363.0
2020-05-02,2840.0,364.0
2020-05-03,2879.0,369.0
2020-05-04,,
