date,hospitalizedCumulative,inIcuCumulative
2020-03-16,84,6
2020-03-17,108,7
2020-03-18,140,12
2020-03-19,173,13
2020-03-20,211,17
2020-03-21,239,25
2020-03-22,277,36
2020-03-23,305,39
2020-03-24,340,47
2020-03-25,419,59
2020-03-26,489,67
2020-03-27,564,77
2020-03-28,645,84
2020-03-29,703,113
2020-03-30,834,126
2020-03-31,932,134
2020-04-01,1039,148
2020-04-02,1118,158
2020-04-03,1203,165
2020-04-04,1265,169
2020-04-05,1345,194
2020-04-06,1472,224
2020-04-07,1521,230
2020-04-08,1631,233
2020-04-09,1718,253
2020-04-10,1777,261
2020-04-11,1849,268
2020-04-12,1903,276
2020-04-13,1968,280
2020-04-14,2026,284
2020-04-15,2082,296
2020-04-16,2168,303
2020-04-17,2233,306
2020-04-18,2272,315
2020-04-19,2323,458
